PLAYER,1stServe%,1st_Serve%_Points_Won,2nd_Serve%_Points_Won,Service%_Games_Won,Avg_Aces/Match,Avg_Double_Faults/Match,Age,Height,Gender
KarolinaPliskova,66.5,71.3,45.5,79,7.63,2.46,27,186,Female
 Kiki Bertens,58.4,71.5,49.6,75.4,6.87,3.48,27,182,Female
 Petra Kvitova,60.5,71.9,48.1,79.4,4.85,4.96,29,182,Female
 Viktoria Kuzmova,56.2,69.2,44.8,67.6,6.67,4.72,20,180,Female
 Naomi Osaka,61.8,71.3,47.3,77.6,7.19,1.88,21,180,Female
 Ashleigh Barty,58.7,72.4,50.2,79.4,5.84,3.21,22,166,Female
 Julia Goerges,52.7,70.6,49.3,74.5,6.00,4.29,30,180,Female
 Ekaterina Alexandrova,59.3,68,42.3,67.7,5.56,5.75,24,NA,Female
 Elina Svitolina,60.7,66.5,45.7,69.7,4.26,2.89,24,174,Female
 Kristyna Pliskova,56,68.6,43,66.7,7.27,4.45,27,184,Female
 Donna Vekic,57.3,68,47.7,72.5,3.68,4.63,22,179,Female
 Aryna Sabalenka,63.8,65.5,48.1,71.6,3.45,3.85,20,182,Female
 Madison Keys,64.1,67.5,44.6,71.6,5.91,2.27,24,178,Female
 Belinda Bencic,65.7,66.3,44.8,70.8,2.71,4.29,22,175,Female
 Ajla Tomljanovic,60.3,65.9,42.7,65.3,3.15,4.30,25,180,Female
 Danielle Collins,54.5,64.2,49.4,66.5,3.65,3.12,25,178,Female
 Garbi—e Muguruza,64.5,64.2,47.7,70.8,2.86,2.19,25,182,Female
 Aliaksandra Sasnovich,57.9,62.5,40.4,57.1,3.69,4.69,25,174,Female
 Victoria Azarenka,61.9,64,41.6,61.9,3.63,4.00,29,183,Female
 Elise Mertens,60.2,62.3,46.5,65.2,2.94,3.89,23,179,Female
 Bianca Andreescu,60.7,65.1,50.6,74.3,2.41,3.95,18,170,Female
 Dayana Yastremska,58.3,65.3,47.6,69.3,3.53,5.27,18,175,Female
 Astra Sharma,60.2,68.8,45.1,74.2,6.38,5.50,23,NA,Female
 Mona Barthel,56.5,66.4,40.6,63.2,4.64,7.18,28,185,Female
 Samantha Stosur,58.1,65.6,40.3,61.8,5.56,5.67,35,175,Female
 Alison Van Uytvanck,65.6,63.2,43.1,66.7,3.27,1.60,25,173,Female
 Johanna Konta,68.9,66.7,47.8,77.4,4.08,1.42,27,180,Female
 Serena Williams,58.6,72.6,45.9,75,5.88,2.75,37,175,Female
 Tatjana Maria,53.9,66.9,45.2,66.4,3.62,2.38,31,172,Female
 Simona Halep,67.8,65.2,47.6,68.5,2.30,3.30,27,168,Female
 Sofia Kenin,66.6,64.2,46.2,70.4,2.05,4.27,20,170,Female
 Anett Kontaveit,66.5,62,46.4,66,2.50,2.11,23,174,Female
 Maria Sakkari,60.7,61.1,43.2,59.9,3.38,3.69,23,172,Female
 Ons Jabeur,53.3,65.9,44.1,62.5,3.91,3.45,24,167,Female
 Caroline Garcia,67.7,62.8,50.2,70.3,3.50,2.00,25,177,Female
 Iga Swiatek,53.2,69.2,50.7,72.6,4.44,3.11,17,NA,Female
 Anastasia Pavlyuchenkova,64.2,65.7,42,67.7,2.35,3.71,27,177,Female
 Timea Babos,60.3,65.2,39.8,60.5,3.45,4.55,25,179,Female
 Veronika Kudermetova,58.2,63.6,48.3,65,3.80,2.40,21,175,Female
 Jennifer Brady,50.3,75.9,45.8,75.3,4.50,3.00,24,178,Female
 Kirsten Flipkens,63.9,63.8,46.1,67.4,2.77,1.85,33,165,Female
 Caroline Wozniacki,64.9,63.9,50,72.2,2.57,1.29,28,177,Female
 Magdalena Rybarikova,57.7,64.6,46.6,67,3.89,2.67,30,180,Female
 Yafan Wang,60.5,64.4,48.8,66.1,1.84,2.95,24,170,Female
 Lesia Tsurenko,70,61.4,46.1,63.8,2.43,3.21,29,174,Female
 Jelena Ostapenko,56.1,62.3,40.4,55.6,2.27,7.20,21,177,Female
 Polona Hercog,58.2,63.2,46.4,60.5,3.00,3.91,28,185,Female
 Yulia Putintseva,70.3,59.3,47.1,64.1,2.36,1.93,24,163,Female
 Anastasija Sevastova,59,63.1,49.5,66.7,2.13,2.00,29,169,Female
 Stefanie Voegele,56.8,65.2,44.5,63.6,2.46,2.08,29,170,Female
 Angelique Kerber,63.1,65.4,49.2,70.4,1.39,3.30,31,173,Female
 Kristina Mladenovic,57.4,62.9,40.4,56.9,2.67,4.42,25,184,Female
 Monica Puig,64.2,62.9,45.6,66.7,2.29,2.93,25,170,Female
 Amanda Anisimova,64.7,64.4,47.8,71.2,1.72,4.33,17,180,Female
 Vera Lapko,55.9,64.5,44.2,61.5,3.44,3.33,20,184,Female
 Marketa Vondrousova,59.6,66.5,48.2,69.7,1.76,3.82,19,172,Female
 Pauline Parmentier,59.9,64,43,62.7,1.93,2.67,33,175,Female
 Katerina Siniakova,56.7,67.2,47.5,68.4,2.90,2.90,22,174,Female
 Katie Boulter,58,72,44.7,74.5,5.80,4.80,22,182,Female
 Sorana Cirstea,60.1,62.7,47.4,67.3,3.11,2.11,29,176,Female
 Petra Martic,65.3,64.6,49.5,71.3,2.15,2.77,28,181,Female
 Magda Linette,62.6,60.6,48.3,63.7,2.08,2.08,27,171,Female
 Anastasia Potapova,51,67.1,45.3,65,3.86,6.71,18,175,Female
 Priscilla Hon,56.6,66.1,40,58,4.17,4.17,20,NA,Female
 Qiang Wang,59.1,66.5,49.1,70.9,2.40,1.80,27,172,Female
 Venus Williams,62,63.5,43.2,65.3,1.53,3.00,38,185,Female
 Irina-camelia Begu,62.2,60.1,48.2,63.8,1.77,4.54,28,181,Female
 Mihaela Buzarnescu,56.9,60,40.7,55.2,1.83,5.75,30,175,Female
 Maria Sharapova,64.6,66.8,49.1,75.7,2.75,4.75,31,188,Female
 Alison Riske,66,62.4,46,68.6,1.47,3.47,28,175,Female
 Sabine Lisicki,51.6,71.4,42.4,66.7,7.33,4.33,29,178,Female
 Ivana Jorovic,61.9,59.4,43.1,55.2,3.67,6.67,21,174,Female
 Saisai Zheng,59.3,58.1,45.4,55.9,1.75,3.42,25,170,Female
 Timea Bacsinszky,64,63.3,45.7,63.7,2.10,2.10,29,170,Female
 Camila Giorgi,59.7,66.3,48.9,73.2,2.86,4.43,27,168,Female
 Anna Karolina Schmiedlova,62,57.4,41.7,53.1,1.67,4.50,24,176,Female
 Karolina Muchova,68,64.3,45.7,70.4,2.50,1.63,22,NA,Female
 Taylor Townsend,65.9,62.1,51.6,66.3,2.50,2.13,23,170,Female
 Tamara Zidansek,69.1,61,43.1,64.3,1.54,2.46,21,168,Female
 Kateryna Kozlova,66.9,57.2,45.5,59.7,1.58,2.42,25,175,Female